ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
94.58,89.91,96.7,0.9578947368421052,0.9416666666666668,96,clinc,lrap,0.25,0.1,1.0,0
93.73,89.51,96.66,0.9578947368421052,0.9303571428571428,97,clinc,lrap,0.25,0.1,1.0,0
93.96,89.74,96.73,0.9596491228070176,0.9327380952380953,98,clinc,lrap,0.25,0.1,1.0,0
94.71,90.14,96.79,0.963157894736842,0.9416666666666668,99,clinc,lrap,0.25,0.1,1.0,0
94.49,90.31,96.91,0.9666666666666668,0.9375,100,clinc,lrap,0.25,0.1,1.0,0
94.31,89.87,96.75,0.9666666666666668,0.9351190476190476,101,clinc,lrap,0.25,0.1,1.0,0
94.22,89.66,96.72,0.9614035087719298,0.9357142857142856,102,clinc,lrap,0.25,0.1,1.0,0
94.0,89.51,96.63,0.9403508771929824,0.9398809523809524,103,clinc,lrap,0.25,0.1,1.0,0
93.78,89.48,96.68,0.9385964912280702,0.9375,104,clinc,lrap,0.25,0.1,1.0,0
94.27,89.72,96.66,0.968421052631579,0.9339285714285714,105,clinc,lrap,0.25,0.1,1.0,0
93.82,89.49,96.71,0.9649122807017544,0.9291666666666668,106,clinc,lrap,0.25,0.1,1.0,0
93.96,89.39,96.6,0.9596491228070176,0.9327380952380953,107,clinc,lrap,0.25,0.1,1.0,0
94.04,89.32,96.57,0.9421052631578948,0.9398809523809524,108,clinc,lrap,0.25,0.1,1.0,0
94.31,89.62,96.72,0.9614035087719298,0.936904761904762,109,clinc,lrap,0.25,0.1,1.0,0
93.91,89.19,96.58,0.9438596491228072,0.9375,110,clinc,lrap,0.25,0.1,1.0,0
94.27,89.74,96.72,0.9456140350877194,0.9416666666666668,111,clinc,lrap,0.25,0.1,1.0,0
93.64,88.34,96.22,0.9421052631578948,0.9345238095238096,112,clinc,lrap,0.25,0.1,1.0,0
94.67,89.91,96.69,0.963157894736842,0.9410714285714286,113,clinc,lrap,0.25,0.1,1.0,0
94.44,89.45,96.55,0.963157894736842,0.938095238095238,114,clinc,lrap,0.25,0.1,1.0,0
93.87,88.81,96.43,0.9403508771929824,0.938095238095238,115,clinc,lrap,0.25,0.1,1.0,0
94.4,89.43,96.62,0.963157894736842,0.9375,116,clinc,lrap,0.25,0.1,1.0,0
93.56,88.79,96.46,0.9649122807017544,0.925595238095238,117,clinc,lrap,0.25,0.1,1.0,0
94.36,90.03,96.87,0.968421052631579,0.9351190476190476,118,clinc,lrap,0.25,0.1,1.0,0
93.6,89.01,96.58,0.963157894736842,0.9267857142857144,119,clinc,lrap,0.25,0.1,1.0,0
94.27,89.72,96.66,0.9666666666666668,0.9345238095238096,120,clinc,lrap,0.25,0.1,1.0,0
94.84,90.28,96.84,0.9666666666666668,0.9422619047619047,121,clinc,lrap,0.25,0.1,1.0,0
94.62,89.83,96.7,0.9649122807017544,0.9398809523809524,122,clinc,lrap,0.25,0.1,1.0,0
93.87,89.0,96.49,0.9614035087719298,0.930952380952381,123,clinc,lrap,0.25,0.1,1.0,0
94.22,89.56,96.67,0.9614035087719298,0.9357142857142856,124,clinc,lrap,0.25,0.1,1.0,0
93.91,89.19,96.61,0.963157894736842,0.930952380952381,125,clinc,lrap,0.25,0.1,1.0,0
94.27,89.29,96.52,0.968421052631579,0.9339285714285714,126,clinc,lrap,0.25,0.1,1.0,0
93.6,89.02,96.47,0.9649122807017544,0.9261904761904762,127,clinc,lrap,0.25,0.1,1.0,0
93.69,89.28,96.58,0.9666666666666668,0.9267857142857144,128,clinc,lrap,0.25,0.1,1.0,0
93.64,88.83,96.46,0.9596491228070176,0.9285714285714286,129,clinc,lrap,0.25,0.1,1.0,0
94.44,89.74,96.68,0.9403508771929824,0.9458333333333332,130,clinc,lrap,0.25,0.1,1.0,0
94.31,89.22,96.51,0.963157894736842,0.9363095238095238,131,clinc,lrap,0.25,0.1,1.0,0
94.36,89.25,96.47,0.9596491228070176,0.938095238095238,132,clinc,lrap,0.25,0.1,1.0,0
93.2,88.2,96.24,0.9614035087719298,0.9220238095238096,133,clinc,lrap,0.25,0.1,1.0,0
94.36,89.31,96.44,0.9614035087719298,0.9375,134,clinc,lrap,0.25,0.1,1.0,0
93.56,88.57,96.36,0.9385964912280702,0.9345238095238096,135,clinc,lrap,0.25,0.1,1.0,0
93.2,88.43,96.36,0.9596491228070176,0.9226190476190476,136,clinc,lrap,0.25,0.1,1.0,0
93.47,88.26,96.25,0.9526315789473684,0.9285714285714286,137,clinc,lrap,0.25,0.1,1.0,0
94.09,88.85,96.36,0.9438596491228072,0.9398809523809524,138,clinc,lrap,0.25,0.1,1.0,0
94.49,89.55,96.62,0.963157894736842,0.9386904761904762,139,clinc,lrap,0.25,0.1,1.0,0
94.44,89.5,96.51,0.963157894736842,0.938095238095238,140,clinc,lrap,0.25,0.1,1.0,0
94.8,89.66,96.56,0.9649122807017544,0.9422619047619047,141,clinc,lrap,0.25,0.1,1.0,0
92.98,87.82,96.09,0.9421052631578948,0.925595238095238,142,clinc,lrap,0.25,0.1,1.0,0
93.24,88.15,96.15,0.956140350877193,0.924404761904762,143,clinc,lrap,0.25,0.1,1.0,0
94.4,89.36,96.51,0.963157894736842,0.9375,144,clinc,lrap,0.25,0.1,1.0,0
93.51,88.37,96.21,0.963157894736842,0.925595238095238,145,clinc,lrap,0.25,0.1,1.0,0
93.33,88.47,96.36,0.963157894736842,0.9232142857142858,146,clinc,lrap,0.25,0.1,1.0,0
93.33,88.41,96.34,0.963157894736842,0.9232142857142858,147,clinc,lrap,0.25,0.1,1.0,0
94.0,88.62,96.23,0.9596491228070176,0.9333333333333332,148,clinc,lrap,0.25,0.1,1.0,0
93.64,88.65,96.31,0.9631578947368421,0.9273809523809524,149,clinc,lrap,0.25,0.1,1.0,0
