ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
86.1,73.11,80.42,0.876,0.856,79,stackoverflow,ligd,0.25,0.1,1.0,0
85.2,71.77,79.42,0.856,0.8506666666666667,80,stackoverflow,ligd,0.25,0.1,1.0,0
85.4,71.94,79.38,0.872,0.848,81,stackoverflow,ligd,0.25,0.1,1.0,0
85.4,71.87,79.35,0.86,0.852,82,stackoverflow,ligd,0.25,0.1,1.0,0
85.7,72.59,79.84,0.86,0.856,83,stackoverflow,ligd,0.25,0.1,1.0,0
85.7,72.62,79.78,0.868,0.8533333333333334,84,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.57,79.99,0.86,0.8546666666666667,85,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.26,79.69,0.868,0.8506666666666667,86,stackoverflow,ligd,0.25,0.1,1.0,0
85.4,72.07,79.78,0.868,0.8493333333333334,87,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.3,79.8,0.868,0.852,88,stackoverflow,ligd,0.25,0.1,1.0,0
85.4,72.09,79.73,0.86,0.852,89,stackoverflow,ligd,0.25,0.1,1.0,0
85.2,71.95,79.37,0.872,0.8453333333333334,90,stackoverflow,ligd,0.25,0.1,1.0,0
86.1,73.4,80.36,0.868,0.8586666666666667,91,stackoverflow,ligd,0.25,0.1,1.0,0
85.9,72.84,79.99,0.868,0.856,92,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.38,79.75,0.864,0.8533333333333334,93,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.48,79.74,0.864,0.8533333333333334,94,stackoverflow,ligd,0.25,0.1,1.0,0
86.0,73.12,80.04,0.868,0.8573333333333333,95,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.38,79.9,0.864,0.852,96,stackoverflow,ligd,0.25,0.1,1.0,0
85.0,71.3,79.17,0.868,0.844,97,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.19,79.72,0.864,0.852,98,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.34,80.05,0.86,0.8533333333333334,99,stackoverflow,ligd,0.25,0.1,1.0,0
84.9,71.34,79.08,0.86,0.8453333333333334,100,stackoverflow,ligd,0.25,0.1,1.0,0
85.3,71.89,79.57,0.86,0.8506666666666667,101,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.42,79.91,0.86,0.8533333333333334,102,stackoverflow,ligd,0.25,0.1,1.0,0
86.0,73.03,80.51,0.864,0.8586666666666667,103,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.23,79.79,0.856,0.8546666666666667,104,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.47,79.83,0.864,0.852,105,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.31,79.68,0.852,0.856,106,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.6,78.99,0.852,0.8506666666666667,107,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.62,79.18,0.852,0.8506666666666667,108,stackoverflow,ligd,0.25,0.1,1.0,0
85.7,72.55,79.94,0.86,0.856,109,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.52,79.06,0.848,0.852,110,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.62,79.83,0.864,0.8533333333333334,111,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.46,79.87,0.868,0.852,112,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.29,79.6,0.856,0.8546666666666667,113,stackoverflow,ligd,0.25,0.1,1.0,0
84.9,71.41,79.27,0.852,0.848,114,stackoverflow,ligd,0.25,0.1,1.0,0
85.3,71.99,79.55,0.86,0.8506666666666667,115,stackoverflow,ligd,0.25,0.1,1.0,0
84.9,71.27,79.06,0.844,0.8506666666666667,116,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.61,79.2,0.852,0.8506666666666667,117,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.32,79.82,0.856,0.8546666666666667,118,stackoverflow,ligd,0.25,0.1,1.0,0
85.5,72.57,79.95,0.868,0.8506666666666667,119,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.71,79.56,0.848,0.852,120,stackoverflow,ligd,0.25,0.1,1.0,0
84.7,71.05,78.64,0.852,0.8453333333333334,121,stackoverflow,ligd,0.25,0.1,1.0,0
85.2,71.82,79.23,0.86,0.8493333333333334,122,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.61,80.04,0.86,0.8546666666666667,123,stackoverflow,ligd,0.25,0.1,1.0,0
85.4,72.28,79.61,0.86,0.852,124,stackoverflow,ligd,0.25,0.1,1.0,0
85.4,72.26,79.82,0.848,0.856,125,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.73,80.23,0.868,0.852,126,stackoverflow,ligd,0.25,0.1,1.0,0
85.0,71.58,79.36,0.864,0.8453333333333334,127,stackoverflow,ligd,0.25,0.1,1.0,0
84.9,71.31,78.99,0.864,0.844,128,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.61,79.41,0.86,0.848,129,stackoverflow,ligd,0.25,0.1,1.0,0
