ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
82.5,71.57,87.06,0.8618421052631579,0.8129310344827586,110,banking,lrap,0.25,0.1,1.0,0
82.34,71.56,87.13,0.8565789473684211,0.8125,111,banking,lrap,0.25,0.1,1.0,0
82.44,71.31,87.16,0.8513157894736842,0.8155172413793104,112,banking,lrap,0.25,0.1,1.0,0
82.76,72.18,87.33,0.8263157894736842,0.8280172413793103,113,banking,lrap,0.25,0.1,1.0,0
80.94,70.81,86.95,0.8197368421052632,0.8060344827586207,114,banking,lrap,0.25,0.1,1.0,0
81.43,71.39,87.06,0.875,0.7943965517241379,115,banking,lrap,0.25,0.1,1.0,0
81.72,70.94,86.96,0.8539473684210527,0.8051724137931034,116,banking,lrap,0.25,0.1,1.0,0
81.85,71.01,86.79,0.8302631578947368,0.8146551724137931,117,banking,lrap,0.25,0.1,1.0,0
81.3,70.81,86.91,0.8210526315789474,0.8103448275862069,118,banking,lrap,0.25,0.1,1.0,0
82.14,71.66,87.02,0.8473684210526315,0.8129310344827586,119,banking,lrap,0.25,0.1,1.0,0
82.44,71.17,86.88,0.825,0.8241379310344827,120,banking,lrap,0.25,0.1,1.0,0
82.5,71.25,86.93,0.8552631578947368,0.8150862068965518,121,banking,lrap,0.25,0.1,1.0,0
82.4,71.09,86.96,0.8407894736842105,0.8185344827586207,122,banking,lrap,0.25,0.1,1.0,0
81.75,70.95,86.88,0.8210526315789474,0.8163793103448276,123,banking,lrap,0.25,0.1,1.0,0
82.18,70.77,86.67,0.8302631578947368,0.8189655172413793,124,banking,lrap,0.25,0.1,1.0,0
82.76,72.08,87.34,0.8552631578947368,0.8185344827586207,125,banking,lrap,0.25,0.1,1.0,0
82.99,72.04,87.21,0.875,0.8150862068965518,126,banking,lrap,0.25,0.1,1.0,0
82.37,71.85,87.18,0.8526315789473684,0.8142241379310344,127,banking,lrap,0.25,0.1,1.0,0
83.86,72.68,87.34,0.8513157894736842,0.8344827586206897,128,banking,lrap,0.25,0.1,1.0,0
83.15,71.63,86.97,0.8315789473684211,0.8314655172413793,129,banking,lrap,0.25,0.1,1.0,0
82.34,71.31,87.1,0.8460526315789474,0.815948275862069,130,banking,lrap,0.25,0.1,1.0,0
82.27,71.01,86.87,0.8565789473684211,0.8116379310344828,131,banking,lrap,0.25,0.1,1.0,0
81.98,71.6,87.11,0.8276315789473684,0.8172413793103448,132,banking,lrap,0.25,0.1,1.0,0
83.08,72.01,87.28,0.8447368421052631,0.8262931034482759,133,banking,lrap,0.25,0.1,1.0,0
82.6,72.13,87.37,0.8315789473684211,0.8241379310344827,134,banking,lrap,0.25,0.1,1.0,0
81.72,70.97,86.84,0.8236842105263158,0.8150862068965518,135,banking,lrap,0.25,0.1,1.0,0
82.99,71.88,87.19,0.8276315789473684,0.8306034482758621,136,banking,lrap,0.25,0.1,1.0,0
83.15,71.86,87.24,0.8276315789473684,0.8327586206896552,137,banking,lrap,0.25,0.1,1.0,0
81.95,71.06,86.96,0.781578947368421,0.8318965517241379,138,banking,lrap,0.25,0.1,1.0,0
